strategy,total_kwh,mean_kwh_per_30min,expected_per_30min
ensemble_blend,114384.989272,1.8912861982804234,1.8912861982804234
seasonal_anchor,93055.667935,1.5386188481316139,1.5386188481316139
v4_batch,118967.81206,1.967060384589947,1.9670603845899468
v5_batch_feb12,115982.19614,1.9176950419973544,1.9176950419973544
