meter_id,mape_7d,mape_p95,mbe_kwh_mean,cov_q10_q90,n,cohort
67003309,776.5390334357274,65.35942209301645,-0.14854893154761906,0.47619047619047616,336,B
65021169,300.5569986580445,629.0072236540541,-1.0457914285714285,0.30612244897959184,98,C
67003234,107.84359253968006,931.0015689841513,-0.7012723035714286,0.21726190476190477,336,B
65041990,98.3939158845512,99.91420176297746,0.007046832298136644,0.32608695652173914,322,B
53408951,87.11333241753533,337.8067619825713,0.06983017910447761,0.3283582089552239,335,B
50186364,85.67334006749353,118.52395833333334,-0.1581196130952381,0.5625,336,D
53401885,77.08091734977535,338.4073833042532,-0.022391837349397595,0.25301204819277107,332,B
65021124,70.29267100052304,216.56738987508214,-0.15448041666666665,0.5238095238095238,336,C
51057607,66.0342252992012,205.4067954841511,0.014183246753246751,0.4512987012987013,308,B
53401842,62.61310276658382,257.12336434267024,0.0008126190476190528,0.33035714285714285,336,C
65002231,56.26512821607035,261.1025619626385,0.010284136904761907,0.5,336,A
53408407,52.75006295288068,249.84544282119688,0.0013906547619047666,0.2619047619047619,336,A
53403416,52.73624983353656,230.14479166666678,-0.09222070967741935,0.4290322580645161,310,B
65044028,52.65072119136037,140.42874653070706,-0.10253679758308158,0.15709969788519637,331,B
65025443,52.448821957957705,181.43524582975041,0.0009501488095238088,0.28869047619047616,336,B
65011155,52.08693906106009,150.18744958371877,-0.05503925595238095,0.1875,336,A
65022302,47.902079859515844,155.26627747252746,-0.03678306547619047,0.29464285714285715,336,B
65024185,46.01019624508541,262.74822335025306,0.022992218844984796,0.48024316109422494,329,B
65003175,45.58670424403176,193.4698162132654,0.02572339285714287,0.4107142857142857,336,B
65000228,42.8626177427409,149.38324759628279,-0.007770416666666661,0.4375,336,B
50143025,40.665533658539175,99.68241176470588,-0.039580446428571434,0.2767857142857143,112,B
65023781,39.8992736113047,158.50823655036714,-0.064221875,0.35714285714285715,336,B
65023784,36.96628541973106,128.8986740766673,0.03678348214285713,0.3958333333333333,336,B
65024487,33.36955397876523,82.2338378788401,0.015456815476190478,0.19642857142857142,336,B
65003102,32.59053892503881,66.84125792291276,0.005299392097264433,0.6322188449848024,329,B
65015026,30.63926476368651,113.39196913207962,-0.03370136904761904,0.3392857142857143,336,B
65004669,30.6121269033694,119.19929436136466,-0.047770327380952396,0.3601190476190476,336,B
65015739,30.03735216823931,37.93452005694243,-0.008060716417910438,0.37910447761194027,335,A
65007036,29.997165338342533,95.36230677528087,-0.10394392857142856,0.2648809523809524,336,B
65017058,28.291156256318068,93.383052605464,-0.044922976190476194,0.4880952380952381,336,B
65022501,27.516567058851344,108.70735052301391,0.03348928143712575,0.4940119760479042,334,A
67003694,26.518019124801896,51.82369240159039,-1.0616050505952381,0.3630952380952381,336,B
65021964,25.941706683229523,90.0,0.010125446428571439,0.4255952380952381,336,A
65030697,25.562242523593078,77.7658247144324,-0.006198765060240972,0.5240963855421686,332,B
65012662,25.435711037732837,74.58636101499422,-0.08103357142857143,0.24702380952380953,336,B
50154700,25.004252303749343,79.40215795328142,0.012783599999999992,0.3230769230769231,325,B
65045250,23.51044946623697,58.948631486737305,-0.052972738095238094,0.28869047619047616,336,A
67001151,22.725667853126986,47.29384686172936,-1.6362013452380952,0.24702380952380953,336,B
67001818,21.684515857464667,50.047271586695196,-0.6938631607142858,0.17559523809523808,336,B
65049719,21.425047245179133,58.85162432404976,0.11116589285714286,0.6220238095238095,336,C
65001891,20.036123724592073,101.39668088606471,0.04934604166666666,0.4791666666666667,336,B
53407938,18.627303218740288,49.951746048327436,-0.08163250000000001,0.3273809523809524,336,A
