cadence,mean_mape,median_mape,p25_mape,p75_mape,p95_mape,max_mape,mbe_kwh,n_blocks,n_meters
dam_15min,9.907728609118767,3.889705882352933,1.5563939272446246,8.91552745767278,35.988913525498894,6026.0,-0.0057875830718817555,28686,42
native_30min,9.907728609118767,3.889705882352933,1.5567019356348408,8.915307673620385,35.98558758314855,6026.0,-0.011575166143763511,14343,42
hourly,7.661174995172741,3.5441595441595464,1.4179777802715678,7.849707443045881,29.245074252098423,1431.966666666667,-0.02226499209979212,7215,42
tod_4h,7.399131998177922,3.024355122079375,1.2942958193400695,6.9031475873312305,21.931605879288618,1808.1666666666667,-0.08283778091106288,1844,42
