meter_id,cadence,mape,median_mape,p95_ape,mbe_kwh,n_blocks,total_actual_kwh,total_predicted_kwh,under_5pct
50143025,dam_15min,14.550011080522182,8.844999999999999,50.24700000000003,-0.0021493125000000006,320,15.42,14.73222,False
50143025,hourly,11.47274913531626,7.241911764705868,33.78965384615382,-0.007669318181818185,88,15.42,14.7451,False
50143025,native_30min,14.550011080522182,8.844999999999999,50.246999999999964,-0.004298625000000001,160,15.42,14.73222,False
50143025,tod_4h,7.260173336084849,3.900000000000002,22.008965517241375,-0.02320689655172414,29,15.42,14.747,False
50154700,dam_15min,6.273933436330513,2.8066666666666795,12.179629629629629,-0.0003974794520547985,730,209.02,208.72984,False
50154700,hourly,4.045136162010241,2.003590146750529,11.514976350510329,0.0008113043478260717,184,209.02,209.16928,True
50154700,native_30min,6.273933436330513,2.8066666666666795,12.065905538566094,-0.000794958904109597,365,209.02,208.72984,False
50154700,tod_4h,2.9606697983888908,1.4874310378799014,9.433919437340144,0.0032452173913043664,46,209.02,209.16928,True
50186364,dam_15min,75.75961546086795,52.985550086855824,134.7987499999997,-0.23032678571428572,504,220.46,104.3753,False
50186364,hourly,63.04356678141836,51.72811147186147,112.67807692307684,-0.905681953125,128,220.46,104.53271,False
50186364,native_30min,75.75961546086795,52.985550086855824,131.5287499999999,-0.46065357142857144,252,220.46,104.3753,False
50186364,tod_4h,101.54907615354401,51.968153526970966,131.78566801619408,-3.0981613513513517,37,220.46,105.82803,False
51057607,dam_15min,9.916179845388175,8.212230477855485,22.847386759581877,-0.008382679640718564,668,148.282,142.68237,False
51057607,hourly,8.611284613936842,8.073354908306365,15.338311688311695,-0.032535325443786976,169,148.282,142.78353,False
51057607,native_30min,9.916179845388175,8.212230477855485,22.8390243902439,-0.016765359281437128,334,148.282,142.68237,False
51057607,tod_4h,9.83917911473736,5.020116394165425,24.100169933423345,-0.12060590909090907,44,148.282,142.97534,False
53401842,dam_15min,14.798323786473157,3.958528951486691,53.407608695652186,0.024481274509803926,714,305.817,323.29663,False
53401842,hourly,11.21019285757976,3.8502538071066033,47.145581604867274,0.09765156424581008,179,305.817,323.29663,False
53401842,native_30min,14.798323786473157,3.958528951486691,53.35332059245103,0.04896254901960785,357,305.817,323.29663,False
53401842,tod_4h,5.9866425467975874,3.4332622601279255,15.56835080499264,0.3884362222222224,45,305.817,323.29663,False
53401885,dam_15min,8.867438512075797,4.438095238095236,29.350986842105254,0.005465240793201131,706,199.198,203.05646,False
53401885,hourly,9.256939224850333,4.219310224089642,19.5849003685702,0.021982696629213472,178,199.198,203.11092,False
53401885,native_30min,8.867438512075797,4.438095238095236,28.988859649122773,0.010930481586402262,353,199.198,203.05646,False
53401885,tod_4h,4.504238753214829,4.154589371980689,11.912044937346984,0.09086777777777777,45,199.198,203.28705,True
53403416,dam_15min,13.317377395552514,3.2871141736540084,59.278185685857395,0.017285589887640448,712,206.566,218.87333999999998,False
53403416,hourly,9.968699237235318,3.3440860215053783,48.128062584631,0.07147754189944133,179,206.566,219.36048,False
53403416,native_30min,13.317377395552514,3.2871141736540084,59.249914224936525,0.034571179775280896,356,206.566,218.87333999999998,False
53403416,tod_4h,5.9765491086121125,3.0687640449438254,20.66334987474365,0.2909731111111109,45,206.566,219.65979,False
53407938,dam_15min,2.6258920214257446,1.2911392405063205,8.944751381215475,0.003570922330097083,618,262.097,264.30383,True
53407938,hourly,2.081131516775727,1.0789060044011358,6.185258308903729,0.014237612903225786,155,262.097,264.30383,True
53407938,native_30min,2.6258920214257446,1.2911392405063205,8.933149725419355,0.007141844660194166,309,262.097,264.30383,True
53407938,tod_4h,2.0175294842757276,0.7533366287691508,5.5659753790666855,0.05658538461538455,39,262.097,264.30383,True
53408407,dam_15min,4.811185160873096,1.9493243243243048,18.411456790123438,-0.0016660724233983268,718,369.435,368.23876,True
53408407,hourly,3.5861661682967974,1.676598291074055,13.401323879561401,-0.006645777777777758,180,369.435,368.23876,True
53408407,native_30min,4.811185160873096,1.9493243243243048,18.367637860082276,-0.0033321448467966536,359,369.435,368.23876,True
53408407,tod_4h,2.870782782875231,1.3718693078324184,9.573730458192244,-0.026583111111110825,45,369.435,368.23876,True
53408951,dam_15min,8.264468072664396,3.7084065705793936,27.190859788359763,-0.003383055555555555,720,264.546,262.1102,False
53408951,hourly,6.011022770992028,3.034987108744379,18.650952813067146,-0.01353222222222221,180,264.546,262.1102,False
53408951,native_30min,8.264468072664396,3.7084065705793936,27.190859788359784,-0.00676611111111111,360,264.546,262.1102,False
53408951,tod_4h,3.5629574794680416,1.6128061882251759,12.487221937523845,-0.054128888888888935,45,264.546,262.1102,True
65000228,dam_15min,8.408556507426862,2.797595190380778,32.500981640052444,-0.0005294986072423414,718,187.579,187.19882,False
65000228,hourly,7.040535235471655,3.3054439660217403,25.74634654414079,-0.002112111111111123,180,187.579,187.19882,False
65000228,native_30min,8.408556507426862,2.797595190380778,32.48149733857902,-0.0010589972144846825,359,187.579,187.19882,False
65000228,tod_4h,3.6947004865398663,2.8367346938775584,10.015329154430473,-0.008448444444444465,45,187.579,187.19882,True
65001891,dam_15min,3.352337842837286,1.3270128239619754,10.591097775175623,0.002292722222222225,720,222.384,224.03476,True
65001891,hourly,2.706779344642651,1.155683773351953,10.090062111801235,0.0091708888888889,180,222.384,224.03476,True
65001891,native_30min,3.352337842837286,1.3270128239619754,10.591097775175642,0.00458544444444445,360,222.384,224.03476,True
65001891,tod_4h,2.87325725370723,0.9090302491102996,11.093786613090828,0.03668355555555549,45,222.38400000000001,224.03476,True
65002231,dam_15min,4.34873371196003,2.7650480827996464,13.512101860408597,-0.013211458333333329,720,303.514,294.00175,True
65002231,hourly,3.5546607909619152,2.2940028458782575,9.746051854014155,-0.0528458333333333,180,303.514,294.00175,True
65002231,native_30min,4.34873371196003,2.7650480827996464,13.512101860408604,-0.026422916666666657,360,303.514,294.00175,True
65002231,tod_4h,3.8163884489528503,2.9046401169163247,13.157642216550489,-0.2113833333333332,45,303.514,294.00175,True
65003102,dam_15min,5.6062753152328115,3.762962962962984,14.96991155396328,-0.0038822005571030674,718,129.48,126.69258,False
65003102,hourly,4.9243979004466425,3.6383763837638505,13.446516676992982,-0.01548566666666669,180,129.48000000000002,126.69258,True
65003102,native_30min,5.6062753152328115,3.762962962962984,14.966804746977163,-0.007764401114206135,359,129.48,126.69258,False
65003102,tod_4h,4.0519063127701465,3.5701107011070206,8.984839225572221,-0.06194266666666671,45,129.48,126.69257999999999,True
65003175,dam_15min,7.1261955140339115,5.639240506329115,20.10074765487137,-0.021294025069637883,718,296.043,280.75389,False
65003175,hourly,6.547326635406811,4.815215361697837,17.498842005724786,-0.08493949999999999,180,296.043,280.75389,False
65003175,native_30min,7.1261955140339115,5.639240506329115,20.092365561437727,-0.04258805013927577,359,296.043,280.75389,False
65003175,tod_4h,6.440716627296892,4.629122632810844,17.63652179495409,-0.33975800000000017,45,296.043,280.75389,False
65004669,dam_15min,6.760214388359079,2.1864713078291924,17.90124260770789,-0.015437205056179779,712,238.512,227.52071,False
65004669,hourly,5.246727018785155,2.0559469035464777,16.427761216056673,-0.06174882022471911,178,238.512,227.52071,False
65004669,native_30min,6.760214388359079,2.1864713078291924,17.897444169896826,-0.030874410112359557,356,238.512,227.52071,False
65004669,tod_4h,5.494654619513251,3.595539033457246,16.40141440949186,-0.24005999999999997,45,238.512,227.7093,False
65007036,dam_15min,6.092829288316702,5.3571499975008745,13.662475895316783,-0.006594944444444441,720,487.5,482.75164,False
65007036,hourly,4.864181816480401,4.898721117588008,11.743732115880203,-0.02637977777777774,180,487.5,482.75164,True
65007036,native_30min,6.092829288316702,5.3571499975008745,13.662475895316806,-0.013189888888888881,360,487.5,482.75164,False
65007036,tod_4h,3.6332331100914095,1.99238607739868,10.26438606048342,-0.105519111111111,45,487.5,482.75164,True
65011155,dam_15min,4.652986529350001,3.71155159394596,12.428243195019459,-0.01954720833333333,720,442.87,428.79601,True
65011155,hourly,4.037826722898731,3.1178094736148614,10.085009329990074,-0.0781888333333333,180,442.87,428.79601,True
65011155,native_30min,4.652986529350001,3.71155159394596,12.428243195019498,-0.03909441666666666,360,442.87,428.79601,True
65011155,tod_4h,3.3397235809572194,2.998113728376883,6.623617151970216,-0.3127553333333334,45,442.87,428.79601,True
65012662,dam_15min,5.35676032189306,3.9608869550838213,14.24336717094564,-0.008500208333333334,720,141.31,135.18985,False
65012662,hourly,4.698463465504487,3.944410921891912,14.147917695000842,-0.03400083333333334,180,141.31,135.18985,True
65012662,native_30min,5.35676032189306,3.9608869550838213,14.243367170945646,-0.017000416666666667,360,141.31,135.18985,False
65012662,tod_4h,4.549647952892976,3.958592132505181,8.741146187827008,-0.1360033333333333,45,141.31,135.18985,True
65015026,dam_15min,7.833830273317744,6.94351145038169,18.866491989319062,-0.010168899721448466,718,189.978,182.67673,False
65015026,hourly,6.852367237700596,6.819472067039099,14.344756080992436,-0.040562611111111105,180,189.978,182.67673,False
65015026,native_30min,7.833830273317744,6.94351145038169,18.787630173564704,-0.02033779944289693,359,189.978,182.67673,False
65015026,tod_4h,6.143847123756484,5.124128919860626,13.326998190700799,-0.1622504444444444,45,189.978,182.67673,False
65015739,dam_15min,2.825283826635662,1.9816612729234084,8.5366550522648,0.00022231197771587887,718,144.426,144.58562,True
65015739,hourly,2.3947362526580998,2.0847553557843126,5.8659618260527315,0.000886777777777777,180,144.426,144.58562,True
65015739,native_30min,2.825283826635662,1.9816612729234084,8.517433900389412,0.00044462395543175775,359,144.426,144.58562,True
65015739,tod_4h,1.9050910386689162,1.4719848053181241,4.805178635738907,0.0035471111111111233,45,144.426,144.58562,True
65017058,dam_15min,6.567400789747628,5.0301204819277086,15.381762844987428,-0.018727986111111112,720,349.025,335.54085,False
65017058,hourly,5.307013938796214,4.66639849168644,13.630478468899524,-0.07491194444444445,180,349.025,335.54085,False
65017058,native_30min,6.567400789747628,5.0301204819277086,15.38176284498746,-0.037455972222222224,360,349.025,335.54085,False
65017058,tod_4h,4.8035778568940195,3.919245283018853,12.133307182403291,-0.2996477777777777,45,349.025,335.54085000000003,True
65021124,dam_15min,21.912943769915433,6.156468531468532,50.15555555555557,-0.01891897476340694,634,316.159,304.16437,False
65021124,hourly,10.10914633498305,5.285302593659971,33.900000000000006,-0.07401658385093168,161,316.159,304.24233,False
